单人姓名抽取 single_name_pick
多人姓名抽取 multiple_name_pick
单人编号抽取 single_number_pick
多人编号抽取 multiple_number_pick
单人性别选择姓名抽取 single_gender_select_name_pick
多人性别选择姓名抽取 multiple_gender_select_name_pick
单人性别选择编号抽取 single_gender_select_number_pick
多人性别选择编号抽取 multiple_gender_select_number_pick
单人权重姓名抽取 single_weighted_name_pick
多人权重姓名抽取 multiple_weighted_name_pick
单人权重编号抽取 single_weighted_number_pick
多人权重编号抽取 multiple_weighted_number_pick
单人权重性别选择姓名抽取 single_weighted_gender_select_name_pick
多人权重性别选择姓名抽取 multiple_weighted_gender_select_name_pick
单人权重性别选择编号抽取 single_weighted_gender_select_number_pick
多人权重性别选择编号抽取 multiple_weighted_gender_select_number_pick
单人动态权重姓名抽取 single_dynamic_weighted_name_pick
多人动态权重姓名抽取 multiple_dynamic_weighted_name_pick
单人动态权重编号抽取 single_dynamic_weighted_number_pick
多人动态权重编号抽取 multiple_dynamic_weighted_number_pick
单人动态权重性别选择姓名抽取 single_dynamic_weighted_gender_select_name_pick
多人动态权重性别选择姓名抽取 multiple_dynamic_weighted_gender_select_name_pick
单人动态权重性别选择编号抽取 single_dynamic_weighted_gender_select_number_pick
多人动态权重性别选择编号抽取 multiple_dynamic_weighted_gender_select_number_pick
